	benchmark	hardware_vendor	system	#_cores	#_chips	#_cores_per_chip	processor_mhz	base_copies	result	baseline	published
0	CINT2006rate	Cisco Systems	Cisco UCS B200 M5 (Intel Xeon Platinum 8153, 2.00GHz)	32	2	16	2000	64	1420	1340	Sep-2017
1	CINT2006rate	Cisco Systems	Cisco UCS B200 M5 (Intel Xeon Platinum 8156, 3.60GHz)	8	2	4	3600	16	610	574	Oct-2017
2	CINT2006rate	Cisco Systems	Cisco UCS B200 M5 (Intel Xeon Platinum 8160, 2.10GHz)	48	2	24	2100	96	2260	2160	Sep-2017
3	CINT2006rate	Cisco Systems	Cisco UCS B200 M5 (Intel Xeon Platinum 8164, 2.00 GHz)	52	2	26	2000	104	2300	2200	Sep-2017
4	CINT2006rate	Cisco Systems	Cisco UCS B200 M5 (Intel Xeon Platinum 8168, 2.70GHz)	48	2	24	2700	96	2560	2450	Sep-2017
5	CINT2006rate	Cisco Systems	Cisco UCS B200 M5 (Intel Xeon Platinum 8170, 2.10 GHz)	52	2	26	2100	104	2410	2300	Sep-2017
6	CINT2006rate	Cisco Systems	Cisco UCS B200 M5 (Intel Xeon Platinum 8176, 2.10GHz)	56	2	28	2100	112	2510	2410	Sep-2017
7	CINT2006rate	Cisco Systems	Cisco UCS B200 M5 (Intel Xeon Platinum 8180, 2.50 GHz)	56	2	28	2500	112	2770	2660	Sep-2017
8	CINT2006rate	Cisco Systems	Cisco UCS C220 M5 (Intel Xeon Platinum 8153, 2.00GHz)	32	2	16	2000	64	1420	1340	Sep-2017
9	CINT2006rate	Cisco Systems	Cisco UCS C220 M5 (Intel Xeon Platinum 8156, 3.60GHz)	8	2	4	3600	16	585	549	Sep-2017
10	CINT2006rate	Cisco Systems	Cisco UCS C220 M5 (Intel Xeon Platinum 8158, 3.00GHz)	24	2	12	3000	48	1580	1490	Sep-2017
11	CINT2006rate	Cisco Systems	Cisco UCS C220 M5 (Intel Xeon Platinum 8160, 2.10GHz)	48	2	24	2100	96	2320	2220	Sep-2017
12	CINT2006rate	Cisco Systems	Cisco UCS C220 M5 (Intel Xeon Platinum 8164, 2.00GHz)	52	2	26	2000	104	2380	2270	Sep-2017
13	CINT2006rate	Cisco Systems	Cisco UCS C220 M5 (Intel Xeon Platinum 8168, 2.70 GHz)	48	2	24	2700	96	2630	2530	Sep-2017
14	CINT2006rate	Cisco Systems	Cisco UCS C220 M5 (Intel Xeon Platinum 8168, 2.70GHz)	48	2	24	2700	96	2630	2530	Aug-2017
15	CINT2006rate	Cisco Systems	Cisco UCS C220 M5 (Intel Xeon Platinum 8170, 2.10GHz)	52	2	26	2100	104	2430	2330	Aug-2017
16	CINT2006rate	Cisco Systems	Cisco UCS C220 M5 (Intel Xeon Platinum 8176, 2.10GHz)	56	2	28	2100	112	2520	2420	Sep-2017
17	CINT2006rate	Cisco Systems	Cisco UCS C220 M5 (Intel Xeon Platinum 8180, 2.50GHz)	56	2	28	2500	112	2800	2690	Sep-2017
18	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Platinum 8153, 2.00GHz)	32	2	16	2000	64	1420	1330	Sep-2017
19	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Platinum 8156, 3.60GHz)	8	2	4	3600	16	584	552	Sep-2017
20	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Platinum 8158, 3.00GHz)	24	2	12	3000	48	1580	1500	Sep-2017
21	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Platinum 8160, 2.10GHz)	48	2	24	2100	96	2320	2210	Sep-2017
22	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Platinum 8160M, 2.10 GHz)	48	2	24	2100	96	2340	2230	Oct-2017
23	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Platinum 8164, 2.00GHz)	52	2	26	2000	104	2530	2430	Oct-2017
24	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Platinum 8168, 2.70GHz)	48	2	24	2700	96	2610	2500	Aug-2017
25	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Platinum 8170, 2.10GHz)	52	2	26	2100	104	2440	2340	Aug-2017
26	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Platinum 8170M, 2.10GHz)	52	2	26	2100	104	2460	2350	Oct-2017
27	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Platinum 8176, 2.10GHz)	56	2	28	2100	112	2570	2460	Aug-2017
28	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Platinum 8176M, 2.10GHz)	56	2	28	2100	112	2600	2510	Oct-2017
29	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Platinum 8180, 2.50 GHz)	56	2	28	2500	112	3010	2890	Oct-2017
30	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Platinum 8180, 2.50GHz)	56	2	28	2500	112	0	2720	Jul-2017
31	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Platinum 8180, 2.50GHz)	56	2	28	2500	112	0	2760	Jul-2017
32	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Platinum 8180M, 2.50GHz)	56	2	28	2500	112	2830	2710	Oct-2017
33	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Platinum 8153 2.00GHz)	64	4	16	2000	128	2830	2660	Sep-2017
34	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Platinum 8156 3.60GHz)	16	4	4	3600	32	1170	1100	Sep-2017
35	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Platinum 8160 2.10GHz)	96	4	24	2100	192	4460	4270	Sep-2017
36	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Platinum 8160M, 2.10GHz)	96	4	24	2100	192	4510	4310	Oct-2017
37	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Platinum 8164 2.00GHz)	104	4	26	2000	208	4530	4330	Sep-2017
38	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Platinum 8168, 2.70GHz)	96	4	24	2700	192	5130	4920	Aug-2017
39	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Platinum 8170 2.10GHz)	104	4	26	2100	208	4810	4600	Sep-2017
40	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Platinum 8176 2.10GHz)	112	4	28	2100	224	4950	4730	Sep-2017
41	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Platinum 8176M, 2.10GHz)	112	4	28	2100	224	4960	4760	Oct-2017
42	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Platinum 8180, 2.50GHz)	112	4	28	2500	224	5710	5470	Oct-2017
43	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Platinum 8180, 2.50GHz)	112	4	28	2500	224	0	5380	Jul-2017
44	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Platinum 8180M, 2.50GHz)	112	4	28	2500	224	5530	5310	Aug-2017
45	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Platinum 8156, 3.60 GHz)	8	2	4	3600	16	537	507	Aug-2017
46	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Platinum 8160F, 2.10 GHz)	48	2	24	2100	96	2180	2110	Aug-2017
47	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Platinum 8164, 2.00 GHz)	52	2	26	2000	104	2270	2190	Jul-2017
48	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Platinum 8168, 2.70 GHz)	48	2	24	2700	96	2460	2360	Aug-2017
49	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Platinum 8168, 2.70 GHz)	48	2	24	2700	96	2460	2360	Aug-2017
50	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Platinum 8168, 2.70 GHz)	48	2	24	2700	96	2460	2360	Jul-2017
51	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Platinum 8176, 2.10 GHz)	56	2	28	2100	112	2410	2310	Jul-2017
52	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Platinum 8176, 2.10 GHz)	56	2	28	2100	112	2410	2300	Jul-2017
53	CINT2006rate	Dell Inc.	PowerEdge FC640 (Intel Xeon Platinum 8176, 2.10 GHz)	56	2	28	2100	112	2360	2250	Sep-2017
54	CINT2006rate	Dell Inc.	PowerEdge M640 (Intel Xeon Platinum 8153, 2.00 GHz)	32	2	16	2100	64	1400	1320	Oct-2017
55	CINT2006rate	Dell Inc.	PowerEdge M640 (Intel Xeon Platinum 8160, 2.10 GHz)	48	2	24	2100	96	2140	2020	Oct-2017
56	CINT2006rate	Dell Inc.	PowerEdge M640 (Intel Xeon Platinum 8170, 2.10 GHz)	52	2	26	2100	104	2270	2170	Oct-2017
57	CINT2006rate	Dell Inc.	PowerEdge M640 (Intel Xeon Platinum 8176, 2.10 GHz)	56	2	28	2100	112	2380	2280	Oct-2017
58	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Platinum 8153, 2.00 GHz)	32	2	16	2000	64	1390	1300	Aug-2017
59	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Platinum 8160, 2.10 GHz)	48	2	24	2100	96	0	2170	Sep-2017
60	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Platinum 8164, 2.00 GHz)	52	2	26	2000	104	2330	2210	Aug-2017
61	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Platinum 8168, 2.70 GHz)	48	2	24	2700	96	2560	2450	Aug-2017
62	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Platinum 8170, 2.10 GHz)	52	2	26	2100	104	2400	2300	Sep-2017
63	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Platinum 8176, 2.10 GHz)	56	2	28	2100	112	2520	2400	Aug-2017
64	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Platinum 8180M, 2.50 GHz)	56	2	28	2500	112	0	2670	Jul-2017
65	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Platinum 8153, 2.00 GHz)	32	2	16	2000	64	0	1320	Jul-2017
66	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Platinum 8160, 2.10 GHz)	48	2	24	2100	96	0	2140	Jul-2017
67	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Platinum 8160T, 2.10 GHz)	48	2	24	2100	96	0	2180	Oct-2017
68	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Platinum 8164, 2.00 GHz)	52	2	26	2000	104	0	2230	Jul-2017
69	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Platinum 8164, 2.00 GHz)	52	2	26	2000	104	0	2150	Jul-2017
70	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Platinum 8168, 2.70 GHz)	48	2	24	2700	96	0	2430	Jul-2017
71	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Platinum 8170, 2.10 GHz)	52	2	26	2100	104	2390	2280	Jul-2017
72	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Platinum 8176, 2.10 GHz)	56	2	28	2100	112	0	2400	Jul-2017
73	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Platinum 8176, 2.10 GHz)	56	2	28	2100	112	0	2390	Jul-2017
74	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Platinum 8180M, 2.50 GHz)	56	2	28	2500	112	0	2710	Jul-2017
75	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Platinum 8153, 2.00 GHz)	64	4	16	2000	128	2770	2620	Jul-2017
76	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Platinum 8156, 3.60 GHz)	16	4	4	3600	32	1150	1080	Jul-2017
77	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Platinum 8158, 3.00 GHz)	48	4	12	3000	96	3050	2870	Jul-2017
78	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Platinum 8160, 2.10 GHz)	96	4	24	2100	192	4380	4160	Jul-2017
79	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Platinum 8164, 2.00 GHz)	104	4	26	2000	208	4480	4280	Jul-2017
80	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Platinum 8168, 2.70 GHz)	96	4	24	2700	192	4980	4770	Jul-2017
81	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Platinum 8170, 2.10 GHz)	104	4	26	2100	208	4610	4420	Jul-2017
82	CINT2006rate	Dell Inc.	PowerEdge R940 (Intel Xeon Platinum 8180, 2.50 GHz)	112	4	28	2500	224	0	5200	Jul-2017
83	CINT2006rate	Fujitsu	PRIMEQUEST 3800B, Intel Xeon Platinum 8180, 2.50GHz	224	8	28	2500	447	11800	11400	Oct-2017
84	CINT2006rate	Fujitsu	PRIMEQUEST 3800B, Intel Xeon Platinum 8180, 2.50GHz	224	8	28	2500	447	0	10500	Jul-2017
85	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Platinum 8153, 2.00GHz	32	2	16	2000	64	0	1370	Sep-2017
86	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Platinum 8160, 2.10GHz	48	2	24	2100	96	0	2170	Sep-2017
87	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Platinum 8164, 2.00GHz	52	2	26	2000	104	0	2220	Sep-2017
88	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Platinum 8168, 2.70GHz	48	2	24	2700	96	0	2460	Sep-2017
89	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Platinum 8170, 2.10GHz	52	2	26	2100	104	0	2310	Sep-2017
90	CINT2006rate	Fujitsu	PRIMERGY RX2530 M4, Intel Xeon Platinum 8176, 2.10GHz	56	2	28	2100	112	0	2440	Sep-2017
91	CINT2006rate	Fujitsu	PRIMERGY RX2530M4, Intel Xeon Platinum 8180, 2.50GHz	56	2	28	2500	112	2780	2670	Jul-2017
92	CINT2006rate	Fujitsu	PRIMERGY RX2540 M4, Intel Xeon Platinum 8180, 2.50GHz	56	2	28	2500	112	0	2870	Oct-2017
93	CINT2006rate	Fujitsu	PRIMERGY RX2540M4, Intel Xeon Platinum 8180, 2.50GHz	56	2	28	2500	112	2820	2710	Jul-2017
94	CINT2006rate	H3C	H3C UniServer R2900 G3 (Intel Xeon Platinum 8153)	32	2	16	2000	64	1390	1320	Sep-2017
95	CINT2006rate	H3C	H3C UniServer R4900 G3 (Intel Xeon Platinum 8164)	52	2	26	2000	104	2370	2280	Sep-2017
96	CINT2006rate	H3C	H3C UniServer R4900 G3 (Intel Xeon Platinum 8164)	52	2	26	2000	104	2280	2180	Sep-2017
97	CINT2006rate	Hewlett Packard Enterprise	ProLiant DL380 Gen10 (2.10 GHz, Intel Xeon Platinum 8170)	52	2	26	2100	104	0	2260	Oct-2017
98	CINT2006rate	Hewlett Packard Enterprise	ProLiant DL380 Gen10 (2.10 GHz, Intel Xeon Platinum 8176)	56	2	28	2100	112	0	2390	Oct-2017
99	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Platinum 8153)	32	2	16	2000	64	1390	1290	Aug-2017
100	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Platinum 8156)	8	2	4	3600	16	591	551	Aug-2017
101	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Platinum 8160)	48	2	24	2100	96	2260	2150	Jul-2017
102	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Platinum 8164)	52	2	26	2000	104	2300	2170	Aug-2017
103	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Platinum 8168)	48	2	24	2700	96	2610	2490	Jul-2017
104	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Platinum 8170)	52	2	26	2100	104	2400	2260	Jul-2017
105	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Platinum 8176)	56	2	28	2100	112	2520	2380	Jul-2017
106	CINT2006rate	Huawei	Huawei 1288H V5 (Intel Xeon Platinum 8180)	56	2	28	2500	112	2900	2770	Jul-2017
107	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Platinum 8153)	32	2	16	2000	64	1390	1290	Aug-2017
108	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Platinum 8156)	8	2	4	3600	16	591	551	Aug-2017
109	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Platinum 8160)	48	2	24	2100	96	2260	2150	Jul-2017
110	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Platinum 8164)	52	2	26	2000	104	2300	2180	Aug-2017
111	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Platinum 8168)	48	2	24	2700	96	2610	2480	Jul-2017
112	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Platinum 8170)	52	2	26	2100	104	2390	2260	Jul-2017
113	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Platinum 8176)	56	2	28	2100	112	2520	2390	Jul-2017
114	CINT2006rate	Huawei	Huawei 2288H V5 (Intel Xeon Platinum 8180)	56	2	28	2500	112	2930	2800	Jul-2017
115	CINT2006rate	Huawei	Huawei 2488 V5 (Intel Xeon Platinum 8153)	64	4	16	2000	128	2810	2640	Sep-2017
116	CINT2006rate	Huawei	Huawei 2488 V5 (Intel Xeon Platinum 8156)	16	4	4	3600	32	1160	1090	Sep-2017
117	CINT2006rate	Huawei	Huawei 2488 V5 (Intel Xeon Platinum 8170)	104	4	26	2100	208	4590	4430	Sep-2017
118	CINT2006rate	Huawei	Huawei 2488 V5 (Intel Xeon Platinum 8176)	112	4	28	2100	224	4840	4630	Sep-2017
119	CINT2006rate	Huawei	Huawei 2488H V5 (Intel Xeon Platinum 8180)	112	4	28	2500	224	0	5520	Jul-2017
120	CINT2006rate	Huawei	Huawei 8100 V5 (Intel Xeon Platinum 8180)	224	8	28	2500	448	0	10900	Jul-2017
121	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Platinum 8153)	32	2	16	2000	64	1390	1290	Aug-2017
122	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Platinum 8156)	8	2	4	3600	16	592	551	Aug-2017
123	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Platinum 8160)	48	2	24	2100	96	2270	2150	Jul-2017
124	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Platinum 8164)	52	2	26	2000	104	2300	2170	Aug-2017
125	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Platinum 8168)	48	2	24	2700	96	2610	2490	Jul-2017
126	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Platinum 8170)	52	2	26	2100	104	2400	2260	Jul-2017
127	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Platinum 8176)	56	2	28	2100	112	2530	2390	Jul-2017
128	CINT2006rate	Huawei	Huawei CH121 V5 (Intel Xeon Platinum 8180)	56	2	28	2500	112	2920	2790	Jul-2017
129	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (2.00 GHz, Intel Xeon Platinum 8153)	32	2	16	2000	64	1390	1300	Oct-2017
130	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (2.00 GHz, Intel Xeon Platinum 8164)	52	2	26	2000	104	2280	2170	Oct-2017
131	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (2.10 GHz, Intel Xeon Platinum 8160)	48	2	24	2100	96	2230	2120	Oct-2017
132	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (2.10 GHz, Intel Xeon Platinum 8170)	52	2	26	2100	104	2370	2250	Oct-2017
133	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (2.10 GHz, Intel Xeon Platinum 8176)	56	2	28	2100	112	2520	2400	Jul-2017
134	CINT2006rate	Lenovo Global Technology	ThinkSystem SD530 (3.00 GHz, Intel Xeon Platinum 8158)	24	2	12	3000	48	1550	1450	Oct-2017
