	benchmark	hardware_vendor	system	cores	chips	cores_per_chip	processor_mhz	base_copies	result	baseline	published
59	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Gold 6130, 2.10GHz)	32	2	16	2100	64	1620	1540	Aug-2017
60	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Gold 6132, 2.60GHz)	28	2	14	2600	56	1620	1530	Sep-2017
61	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Gold 6134, 3.20GHz)	16	2	8	3200	32	1120	1060	Sep-2017
62	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Gold 6134M, 3.20GHz)	16	2	8	3200	32	1120	1060	Oct-2017
63	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Gold 6136, 3.00GHz)	24	2	12	3000	48	1580	1490	Sep-2017
64	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Gold 6138, 2.00GHz)	40	2	20	2000	80	1920	1820	Sep-2017
65	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Gold 6140, 2.00GHz)	36	2	18	2300	72	1900	1800	Sep-2017
66	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Gold 6140, 2.30GHz)	36	2	18	2300	72	1900	1800	Aug-2017
67	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Gold 6140M, 2.30GHz)	36	2	18	2300	72	1890	1800	Aug-2017
68	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Gold 6142, 2.60GHz)	32	2	16	2600	64	1830	1730	Aug-2017
69	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Gold 6142M 2.60 GHz)	32	2	16	2600	64	1840	1740	Oct-2017
70	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Gold 6144, 3.50GHz)	16	2	8	3500	32	1180	1110	Sep-2017
71	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Gold 6148, 2.40GHz)	40	2	20	2400	80	2080	1980	Sep-2017
72	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Gold 6150, 2.70GHz)	36	2	18	2700	72	2070	1970	Sep-2017
73	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Gold 6152, 2.10GHz)	44	2	22	2100	88	2120	2020	Sep-2017
74	CINT2006rate	Cisco Systems	Cisco UCS C240 M5 (Intel Xeon Gold 6154, 3.00GHz)	36	2	18	3000	72	2200	2100	Sep-2017
75	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Gold 5115, 2.40GHz)	40	4	10	2400	80	2010	1900	Oct-2017
76	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Gold 5118 2.30GHz)	48	4	12	2300	96	2380	2240	Sep-2017
77	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Gold 5120 2.20GHz)	56	4	14	2200	112	2670	2510	Sep-2017
78	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Gold 5122 3.60GHz)	16	4	4	3600	32	1170	1100	Sep-2017
79	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Gold 6126, 2.60GHz)	48	4	12	2600	96	2760	2610	Sep-2017
80	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Gold 6128 3.40GHz)	24	4	6	3400	48	1730	1630	Sep-2017
81	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Gold 6130 2.10GHz)	64	4	16	2100	128	3200	3040	Sep-2017
82	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Gold 6132 2.60GHz)	56	4	14	2600	112	3200	3040	Sep-2017
83	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Gold 6134 3.20GHz)	32	4	8	3200	64	2240	2110	Sep-2017
84	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Gold 6134M, 3.20GHz)	32	4	8	3200	64	2230	2110	Oct-2017
85	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Gold 6136 3.00GHz)	48	4	12	3000	96	3050	2880	Sep-2017
86	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Gold 6138, 2.00GHz)	80	4	20	2000	160	3650	3460	Aug-2017
87	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Gold 6140, 2.30GHz)	72	4	18	2300	144	3720	3530	Aug-2017
88	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Gold 6140M, 2.30GHz)	72	4	18	2300	144	3680	3500	Oct-2017
89	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Gold 6142 2.60GHz)	64	4	16	2600	128	3540	3360	Sep-2017
90	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Gold 6142M, 2.60GHz)	64	4	16	2600	128	3560	3380	Oct-2017
91	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Gold 6144 3.50GHz)	32	4	8	3500	64	2330	2200	Sep-2017
92	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Gold 6146 3.20GHz)	48	4	12	3200	96	3140	2980	Sep-2017
93	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Gold 6148 2.40GHz)	80	4	20	2400	160	4020	3820	Sep-2017
94	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Gold 6150 2.70GHz)	72	4	18	2700	144	3950	3770	Sep-2017
95	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Gold 6152 2.10GHz)	88	4	22	2100	176	4110	3920	Sep-2017
96	CINT2006rate	Cisco Systems	Cisco UCS C480 M5 (Intel Xeon Gold 6154 3.00GHz)	72	4	18	3000	144	4240	4060	Sep-2017
97	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 5115, 2.40 GHz)	20	2	10	2400	40	998	955	Aug-2017
98	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 5118, 2.30 GHz)	24	2	12	2300	48	1200	1140	Aug-2017
99	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 5118, 2.30 GHz)	24	2	12	2300	48	1200	1140	Aug-2017
100	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 5120, 2.20 GHz)	28	2	14	2200	56	1310	1250	Aug-2017
101	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 5120, 2.20 GHz)	28	2	14	2200	56	1310	1250	Aug-2017
102	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 5122, 3.60 GHz)	8	2	4	3600	16	506	481	Aug-2017
103	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 5122, 3.60 GHz)	8	2	4	3600	16	516	490	Aug-2017
104	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 5122, 3.60 GHz)	8	2	4	3600	16	580	544	Jul-2017
105	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 6126, 2.60 GHz)	24	2	12	2600	48	1360	1280	Aug-2017
106	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 6126, 2.60 GHz)	24	2	12	2600	48	1360	1280	Aug-2017
107	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 6126F, 2.60 GHz)	24	2	12	2600	48	1330	1230	Aug-2017
108	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 6126F, 2.60 GHz)	24	2	12	2600	48	1330	1230	Aug-2017
109	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 6128, 3.40 GHz)	12	2	6	3400	24	856	805	Aug-2017
110	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 6130, 2.10 GHz)	32	2	16	2100	64	1600	1520	Aug-2017
111	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 6134, 3.20 GHz)	16	2	8	3200	32	1030	979	Aug-2017
112	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 6138, 2.00 GHz)	40	2	20	2000	80	1820	1730	Aug-2017
113	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 6138F, 2.00 GHz)	40	2	20	2000	80	1840	1750	Aug-2017
114	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 6142, 2.60 GHz)	32	2	16	2600	64	1740	1650	Aug-2017
115	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 6142, 2.60 GHz)	32	2	16	2600	64	1700	1620	Aug-2017
116	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 6144, 3.50 GHz)	16	2	8	3500	32	1100	1040	Aug-2017
117	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 6146, 3.20 GHz)	24	2	12	3200	48	1540	1460	Aug-2017
118	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 6148F, 2.40 GHz)	40	2	20	2400	80	1990	1900	Aug-2017
119	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 6150, 2.70 GHz)	36	2	18	2700	72	1950	1850	Aug-2017
120	CINT2006rate	Dell Inc.	PowerEdge C6420 (Intel Xeon Gold 6150, 2.70 GHz)	36	2	18	2700	72	1950	1850	Aug-2017
121	CINT2006rate	Dell Inc.	PowerEdge FC640 (Intel Xeon Gold 5115, 2.40 GHz)	20	2	10	2400	40	994	952	Oct-2017
122	CINT2006rate	Dell Inc.	PowerEdge FC640 (Intel Xeon Gold 5118, 2.30 GHz)	24	2	12	2300	48	1170	1120	Sep-2017
123	CINT2006rate	Dell Inc.	PowerEdge FC640 (Intel Xeon Gold 5122, 3.60 GHz)	8	2	4	3600	16	573	544	Oct-2017
124	CINT2006rate	Dell Inc.	PowerEdge FC640 (Intel Xeon Gold 6126, 2.60 GHz)	24	2	12	2600	48	1360	1290	Oct-2017
125	CINT2006rate	Dell Inc.	PowerEdge FC640 (Intel Xeon Gold 6136, 3.00 GHz)	24	2	12	3000	48	1510	1430	Oct-2017
126	CINT2006rate	Dell Inc.	PowerEdge FC640 (Intel Xeon Gold 6136, 3.00 GHz)	24	2	12	3000	48	1500	1420	Sep-2017
127	CINT2006rate	Dell Inc.	PowerEdge FC640 (Intel Xeon Gold 6140, 2.30 GHz)	36	2	18	2300	72	1850	1760	Sep-2017
128	CINT2006rate	Dell Inc.	PowerEdge FC640 (Intel Xeon Gold 6142, 2.60 GHz)	32	2	16	2600	64	1760	1680	Sep-2017
129	CINT2006rate	Dell Inc.	PowerEdge FC640 (Intel Xeon Gold 6148, 2.40 GHz)	40	2	20	2400	80	1990	1900	Oct-2017
130	CINT2006rate	Dell Inc.	PowerEdge FC640 (Intel Xeon Gold 6152, 2.10 GHz)	44	2	22	2100	88	2020	1920	Oct-2017
131	CINT2006rate	Dell Inc.	PowerEdge M640 (Intel Xeon Gold 5115, 2.40 GHz)	20	2	10	2400	40	1010	963	Sep-2017
132	CINT2006rate	Dell Inc.	PowerEdge M640 (Intel Xeon Gold 5118, 2.30 GHz)	24	2	12	2300	48	1190	1140	Oct-2017
133	CINT2006rate	Dell Inc.	PowerEdge M640 (Intel Xeon Gold 5120, 2.20 GHz)	28	2	14	2200	56	1340	1280	Sep-2017
134	CINT2006rate	Dell Inc.	PowerEdge M640 (Intel Xeon Gold 5120, 2.20 GHz)	28	2	14	2200	56	1330	1270	Sep-2017
135	CINT2006rate	Dell Inc.	PowerEdge M640 (Intel Xeon Gold 5122, 3.60 GHz)	8	2	4	3600	16	565	536	Sep-2017
136	CINT2006rate	Dell Inc.	PowerEdge M640 (Intel Xeon Gold 6126, 2.60 GHz)	24	2	12	2600	48	1350	1290	Oct-2017
137	CINT2006rate	Dell Inc.	PowerEdge M640 (Intel Xeon Gold 6128, 3.40 GHz)	12	2	6	3400	24	857	809	Sep-2017
138	CINT2006rate	Dell Inc.	PowerEdge M640 (Intel Xeon Gold 6130, 2.10 GHz)	32	2	16	2100	64	1560	1480	Oct-2017
139	CINT2006rate	Dell Inc.	PowerEdge M640 (Intel Xeon Gold 6132, 2.60 GHz)	28	2	14	2600	56	1570	1490	Oct-2017
140	CINT2006rate	Dell Inc.	PowerEdge M640 (Intel Xeon Gold 6136, 3.00 GHz)	24	2	12	3000	48	1510	1430	Oct-2017
141	CINT2006rate	Dell Inc.	PowerEdge M640 (Intel Xeon Gold 6138, 2.00 GHz)	40	2	20	2100	80	1820	1730	Oct-2017
142	CINT2006rate	Dell Inc.	PowerEdge M640 (Intel Xeon Gold 6140, 2.30 GHz)	36	2	18	2300	72	1790	1700	Oct-2017
143	CINT2006rate	Dell Inc.	PowerEdge M640 (Intel Xeon Gold 6142, 2.60 GHz)	32	2	16	2600	64	1710	1620	Oct-2017
144	CINT2006rate	Dell Inc.	PowerEdge M640 (Intel Xeon Gold 6148, 2.40 GHz)	40	2	20	2400	80	1940	1850	Sep-2017
145	CINT2006rate	Dell Inc.	PowerEdge M640 (Intel Xeon Gold 6150, 2.70 GHz)	36	2	18	2700	72	1930	1840	Oct-2017
146	CINT2006rate	Dell Inc.	PowerEdge M640 (Intel Xeon Gold 6152, 2.10 GHz)	44	2	22	2100	88	2020	1920	Oct-2017
147	CINT2006rate	Dell Inc.	PowerEdge R440 (Intel Xeon Gold 5122, 3.60 GHz)	8	2	4	3600	16	581	547	Sep-2017
148	CINT2006rate	Dell Inc.	PowerEdge R440 (Intel Xeon Gold 6152, 2.10 GHz)	44	2	22	2100	88	0	1930	Sep-2017
149	CINT2006rate	Dell Inc.	PowerEdge R540 (Intel Xeon Gold 5122, 3.60 GHz)	8	2	4	3600	16	0	544	Sep-2017
150	CINT2006rate	Dell Inc.	PowerEdge R540 (Intel Xeon Gold 6138, 2.00 GHz)	40	2	20	2000	80	0	1730	Sep-2017
151	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Gold 5115, 2.40 GHz)	20	2	10	2400	40	0	976	Aug-2017
152	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Gold 5118, 2.30 GHz)	24	2	12	2300	48	1200	1140	Aug-2017
153	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Gold 5120, 2.20 GHz)	28	2	14	2200	56	1350	1290	Aug-2017
154	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Gold 5122, 3.60 GHz)	8	2	4	3600	16	571	541	Aug-2017
155	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Gold 6126, 2.60 GHz)	24	2	12	2600	48	1400	1320	Aug-2017
156	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Gold 6128, 3.40 GHz)	12	2	6	3400	24	856	809	Aug-2017
157	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Gold 6130, 2.10 GHz)	32	2	16	2100	64	1600	1510	Aug-2017
158	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Gold 6132, 2.60 GHz)	28	2	14	2600	56	1590	1510	Aug-2017
159	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Gold 6134, 3.20 GHz)	16	2	8	3200	32	1100	1040	Sep-2017
160	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Gold 6136, 3.00 GHz)	24	2	12	3000	48	0	1460	Aug-2017
161	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Gold 6138, 2.00 GHz)	40	2	20	2000	80	1880	1780	Aug-2017
162	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Gold 6140, 2.30 GHz)	36	2	18	2300	72	1860	1770	Aug-2017
163	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Gold 6142, 2.60 GHz)	32	2	16	2600	64	1800	1710	Aug-2017
164	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Gold 6144, 3.50 GHz)	16	2	8	3500	32	0	1120	Sep-2017
